url,code,severity,confidence,evidence,action
https://beehivedesign.vercel.app/blog/top-10-private-practice-marketing-companies-in-the-usa,multiple_h1_review,low,review,"[""Top 10 Private Practice Marketing Companies in the USA for 2026"", ""What Should a Doctor Look for in a Marketing Partner?"", ""Which Type of Company Is Right for Your Practice?"", ""Start With Your Current Practice""]",Review heading hierarchy; multiple H1s alone do not establish an SEO defect.
https://beehivedesign.vercel.app/blog/top-10-private-practice-marketing-companies-in-the-usa,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/top-10-private-practice-marketing-companies-in-the-usa"", ""url"": ""https://www.beehivedesign.ie/blog/top-10-private-practice-marketing-companies-in-the-usa""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/10-best-wedding-planners-in-ireland-for-2026,multiple_h1_review,low,review,"[""10 Best Wedding Planners in Ireland for 2026"", ""How to Choose the Best Wedding Planner in Ireland"", ""Do You Really Need a Wedding Planner?"", ""Why Weddings with Erica Is Our Top Pick""]",Review heading hierarchy; multiple H1s alone do not establish an SEO defect.
https://beehivedesign.vercel.app/blog/10-best-wedding-planners-in-ireland-for-2026,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/10-best-wedding-planners-in-ireland-for-2026"", ""url"": ""https://www.beehivedesign.ie/blog/10-best-wedding-planners-in-ireland-for-2026""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/top-10-best-seo-companies-in-ireland-2025-rankings-reviews,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/top-10-best-seo-companies-in-ireland-2025-rankings-reviews"", ""url"": ""https://www.beehivedesign.ie/blog/top-10-best-seo-companies-in-ireland-2025-rankings-reviews""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/top-10-seo-companies-in-cork-ireland-2025-edition,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/top-10-seo-companies-in-cork-ireland-2025-edition"", ""url"": ""https://www.beehivedesign.ie/blog/top-10-seo-companies-in-cork-ireland-2025-edition""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/best-shopify-seo-agencies-in-ireland,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/best-shopify-seo-agencies-in-ireland"", ""url"": ""https://www.beehivedesign.ie/blog/best-shopify-seo-agencies-in-ireland""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/5-digital-marketing-trends-shaping-the-irish-business-scene,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/5-digital-marketing-trends-shaping-the-irish-business-scene"", ""url"": ""https://www.beehivedesign.ie/blog/5-digital-marketing-trends-shaping-the-irish-business-scene""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/the-power-of-localized-marketing-in-ireland,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/the-power-of-localized-marketing-in-ireland"", ""url"": ""https://www.beehivedesign.ie/blog/the-power-of-localized-marketing-in-ireland""}]",Confirm that consolidation to the target page is intended.
https://beehivedesign.vercel.app/blog/strategic-brand-positioning-for-irish-marketing-agencies,canonical_elsewhere,info,review,"[{""raw"": ""https://www.beehivedesign.ie/blog/strategic-brand-positioning-for-irish-marketing-agencies"", ""url"": ""https://www.beehivedesign.ie/blog/strategic-brand-positioning-for-irish-marketing-agencies""}]",Confirm that consolidation to the target page is intended.
